Signal,Red,Yellow,Green,Vehicles_Crossed
Signal 4 RED,23,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,54
Signal 2 RED,97,5,20,74
Signal 3 GREEN,0,5,17,20
Signal 4 RED,22,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,54
Signal 2 RED,96,5,20,74
Signal 3 GREEN,0,5,16,20
Signal 4 RED,21,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,54
Signal 2 RED,95,5,20,74
Signal 3 GREEN,0,5,15,20
Signal 4 RED,20,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,54
Signal 2 RED,94,5,20,74
Signal 3 GREEN,0,5,14,20
Signal 4 RED,19,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,54
Signal 2 RED,93,5,20,74
Signal 3 GREEN,0,5,13,21
Signal 4 RED,18,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,54
Signal 2 RED,92,5,20,74
Signal 3 GREEN,0,5,12,22
Signal 4 RED,17,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,54
Signal 2 RED,91,5,20,74
Signal 3 GREEN,0,5,11,22
Signal 4 RED,16,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,54
Signal 2 RED,90,5,20,74
Signal 3 GREEN,0,5,10,22
Signal 4 RED,15,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,54
Signal 2 RED,89,5,20,74
Signal 3 GREEN,0,5,9,22
Signal 4 RED,14,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,54
Signal 2 RED,88,5,20,74
Signal 3 GREEN,0,5,8,23
Signal 4 RED,13,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,54
Signal 2 RED,87,5,20,74
Signal 3 GREEN,0,5,7,23
Signal 4 RED,12,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,54
Signal 2 RED,86,5,20,74
Signal 3 GREEN,0,5,6,23
Signal 4 RED,11,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,54
Signal 2 RED,85,5,20,74
Signal 3 GREEN,0,5,5,23
Signal 4 RED,10,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,54
Signal 2 RED,84,5,20,74
Signal 3 GREEN,0,5,4,23
Signal 4 RED,9,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,54
Signal 2 RED,83,5,20,74
Signal 3 GREEN,0,5,3,24
Signal 4 RED,8,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,54
Signal 2 RED,82,5,20,74
Signal 3 GREEN,0,5,2,24
Signal 4 RED,7,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,54
Signal 2 RED,81,5,20,74
Signal 3 GREEN,0,5,1,25
Signal 4 RED,6,5,20,16
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,54
Signal 2 RED,75,5,20,74
Signal 3 RED,100,5,20,25
Signal 4 GREEN,0,5,20,16
