Signal,Red,Yellow,Green,Vehicles_Crossed
Signal 3 RED,65,5,20,25
Signal 4 RED,90,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,90
Signal 2 RED,14,5,20,74
Signal 3 RED,64,5,20,25
Signal 4 RED,89,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,90
Signal 2 RED,13,5,20,74
Signal 3 RED,63,5,20,25
Signal 4 RED,88,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,90
Signal 2 RED,12,5,20,74
Signal 3 RED,62,5,20,25
Signal 4 RED,87,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,91
Signal 2 RED,11,5,20,74
Signal 3 RED,61,5,20,25
Signal 4 RED,86,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,92
Signal 2 RED,10,5,20,74
Signal 3 RED,60,5,20,25
Signal 4 RED,85,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,93
Signal 2 RED,9,5,20,74
Signal 3 RED,59,5,20,25
Signal 4 RED,84,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,93
Signal 2 RED,8,5,20,74
Signal 3 RED,58,5,20,25
Signal 4 RED,83,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,94
Signal 2 RED,7,5,20,74
Signal 3 RED,57,5,20,25
Signal 4 RED,82,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,95
Signal 2 RED,6,5,20,74
Signal 3 RED,56,5,20,25
Signal 4 RED,81,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,95
Signal 2 GREEN,0,5,20,74
Signal 3 RED,25,5,20,25
Signal 4 RED,75,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,95
Signal 2 GREEN,0,5,19,84
Signal 3 RED,24,5,20,25
Signal 4 RED,74,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,95
Signal 2 GREEN,0,5,18,94
Signal 3 RED,23,5,20,25
Signal 4 RED,73,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,95
Signal 2 GREEN,0,5,17,104
Signal 3 RED,22,5,20,25
Signal 4 RED,72,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,95
Signal 2 GREEN,0,5,16,111
Signal 3 RED,21,5,20,25
Signal 4 RED,71,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,95
Signal 2 GREEN,0,5,15,113
Signal 3 RED,20,5,20,25
Signal 4 RED,70,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,95
Signal 2 GREEN,0,5,14,115
Signal 3 RED,19,5,20,25
Signal 4 RED,69,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,95
Signal 2 GREEN,0,5,13,118
Signal 3 RED,18,5,20,25
Signal 4 RED,68,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,95
Signal 2 GREEN,0,5,12,121
Signal 3 RED,17,5,20,25
Signal 4 RED,67,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,95
Signal 2 GREEN,0,5,11,124
Signal 3 RED,16,5,20,25
Signal 4 RED,66,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,95
Signal 2 GREEN,0,5,10,126
Signal 3 RED,15,5,20,25
Signal 4 RED,65,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,95
Signal 2 GREEN,0,5,9,128
Signal 3 RED,14,5,20,25
Signal 4 RED,64,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,95
Signal 2 GREEN,0,5,8,128
Signal 3 RED,13,5,20,25
Signal 4 RED,63,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,95
Signal 2 GREEN,0,5,7,128
Signal 3 RED,12,5,20,25
Signal 4 RED,62,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,95
Signal 2 GREEN,0,5,6,128
Signal 3 RED,11,5,20,25
Signal 4 RED,61,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,95
Signal 2 GREEN,0,5,5,128
Signal 3 RED,10,5,20,25
Signal 4 RED,60,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,95
Signal 2 GREEN,0,5,4,128
Signal 3 RED,9,5,20,25
Signal 4 RED,59,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,95
Signal 2 GREEN,0,5,3,128
Signal 3 RED,8,5,20,25
Signal 4 RED,58,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,95
Signal 2 GREEN,0,5,2,128
Signal 3 RED,7,5,20,25
Signal 4 RED,57,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,95
Signal 2 GREEN,0,5,1,129
Signal 3 RED,6,5,20,25
Signal 4 RED,56,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,95
Signal 2 RED,100,5,20,129
Signal 3 GREEN,0,5,20,25
Signal 4 RED,25,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,95
Signal 2 RED,99,5,20,129
Signal 3 GREEN,0,5,19,32
Signal 4 RED,24,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,95
Signal 2 RED,98,5,20,129
Signal 3 GREEN,0,5,18,35
Signal 4 RED,23,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,95
Signal 2 RED,97,5,20,129
Signal 3 GREEN,0,5,17,35
Signal 4 RED,22,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,95
Signal 2 RED,96,5,20,129
Signal 3 GREEN,0,5,16,35
Signal 4 RED,21,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,95
Signal 2 RED,95,5,20,129
Signal 3 GREEN,0,5,15,35
Signal 4 RED,20,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,95
Signal 2 RED,94,5,20,129
Signal 3 GREEN,0,5,14,36
Signal 4 RED,19,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,95
Signal 2 RED,93,5,20,129
Signal 3 GREEN,0,5,13,36
Signal 4 RED,18,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,95
Signal 2 RED,92,5,20,129
Signal 3 GREEN,0,5,12,36
Signal 4 RED,17,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,95
Signal 2 RED,91,5,20,129
Signal 3 GREEN,0,5,11,36
Signal 4 RED,16,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,95
Signal 2 RED,90,5,20,129
Signal 3 GREEN,0,5,10,36
Signal 4 RED,15,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,95
Signal 2 RED,89,5,20,129
Signal 3 GREEN,0,5,9,36
Signal 4 RED,14,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,95
Signal 2 RED,88,5,20,129
Signal 3 GREEN,0,5,8,36
Signal 4 RED,13,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,95
Signal 2 RED,87,5,20,129
Signal 3 GREEN,0,5,7,36
Signal 4 RED,12,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,95
Signal 2 RED,86,5,20,129
Signal 3 GREEN,0,5,6,36
Signal 4 RED,11,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,95
Signal 2 RED,85,5,20,129
Signal 3 GREEN,0,5,5,36
Signal 4 RED,10,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,95
Signal 2 RED,84,5,20,129
Signal 3 GREEN,0,5,4,36
Signal 4 RED,9,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,95
Signal 2 RED,83,5,20,129
Signal 3 GREEN,0,5,3,36
Signal 4 RED,8,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,95
Signal 2 RED,82,5,20,129
Signal 3 GREEN,0,5,2,36
Signal 4 RED,7,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,95
Signal 2 RED,81,5,20,129
Signal 3 GREEN,0,5,1,36
Signal 4 RED,6,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,95
Signal 2 RED,75,5,20,129
Signal 3 RED,100,5,20,36
Signal 4 GREEN,0,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,95
Signal 2 RED,74,5,20,129
Signal 3 RED,99,5,20,36
Signal 4 GREEN,0,5,19,39
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,95
Signal 2 RED,73,5,20,129
Signal 3 RED,98,5,20,36
Signal 4 GREEN,0,5,18,43
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,95
Signal 2 RED,72,5,20,129
Signal 3 RED,97,5,20,36
Signal 4 GREEN,0,5,17,44
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,95
Signal 2 RED,71,5,20,129
Signal 3 RED,96,5,20,36
Signal 4 GREEN,0,5,16,44
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,95
Signal 2 RED,70,5,20,129
Signal 3 RED,95,5,20,36
Signal 4 GREEN,0,5,15,44
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,95
Signal 2 RED,69,5,20,129
Signal 3 RED,94,5,20,36
Signal 4 GREEN,0,5,14,44
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,95
Signal 2 RED,68,5,20,129
Signal 3 RED,93,5,20,36
Signal 4 GREEN,0,5,13,44
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,95
Signal 2 RED,67,5,20,129
Signal 3 RED,92,5,20,36
Signal 4 GREEN,0,5,12,44
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,95
Signal 2 RED,66,5,20,129
Signal 3 RED,91,5,20,36
Signal 4 GREEN,0,5,11,45
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,95
Signal 2 RED,65,5,20,129
Signal 3 RED,90,5,20,36
Signal 4 GREEN,0,5,10,45
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,95
Signal 2 RED,64,5,20,129
Signal 3 RED,89,5,20,36
Signal 4 GREEN,0,5,9,45
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,95
Signal 2 RED,63,5,20,129
Signal 3 RED,88,5,20,36
Signal 4 GREEN,0,5,8,45
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,95
Signal 2 RED,62,5,20,129
Signal 3 RED,87,5,20,36
Signal 4 GREEN,0,5,7,45
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,95
Signal 2 RED,61,5,20,129
Signal 3 RED,86,5,20,36
Signal 4 GREEN,0,5,6,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,95
Signal 2 RED,60,5,20,129
Signal 3 RED,85,5,20,36
Signal 4 GREEN,0,5,5,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,95
Signal 2 RED,59,5,20,129
Signal 3 RED,84,5,20,36
Signal 4 GREEN,0,5,4,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,95
Signal 2 RED,58,5,20,129
Signal 3 RED,83,5,20,36
Signal 4 GREEN,0,5,3,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,95
Signal 2 RED,57,5,20,129
Signal 3 RED,82,5,20,36
Signal 4 GREEN,0,5,2,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,95
Signal 2 RED,56,5,20,129
Signal 3 RED,81,5,20,36
Signal 4 GREEN,0,5,1,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,95
Signal 2 RED,25,5,20,129
Signal 3 RED,75,5,20,36
Signal 4 RED,100,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,106
Signal 2 RED,24,5,20,129
Signal 3 RED,74,5,20,36
Signal 4 RED,99,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,110
Signal 2 RED,23,5,20,129
Signal 3 RED,73,5,20,36
Signal 4 RED,98,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,115
Signal 2 RED,22,5,20,129
Signal 3 RED,72,5,20,36
Signal 4 RED,97,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,120
Signal 2 RED,21,5,20,129
Signal 3 RED,71,5,20,36
Signal 4 RED,96,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,125
Signal 2 RED,20,5,20,129
Signal 3 RED,70,5,20,36
Signal 4 RED,95,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,127
Signal 2 RED,19,5,20,129
Signal 3 RED,69,5,20,36
Signal 4 RED,94,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,129
Signal 2 RED,18,5,20,129
Signal 3 RED,68,5,20,36
Signal 4 RED,93,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,129
Signal 2 RED,17,5,20,129
Signal 3 RED,67,5,20,36
Signal 4 RED,92,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,129
Signal 2 RED,16,5,20,129
Signal 3 RED,66,5,20,36
Signal 4 RED,91,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,129
Signal 2 RED,15,5,20,129
Signal 3 RED,65,5,20,36
Signal 4 RED,90,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,131
Signal 2 RED,14,5,20,129
Signal 3 RED,64,5,20,36
Signal 4 RED,89,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,131
Signal 2 RED,13,5,20,129
Signal 3 RED,63,5,20,36
Signal 4 RED,88,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,132
Signal 2 RED,12,5,20,129
Signal 3 RED,62,5,20,36
Signal 4 RED,87,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,132
Signal 2 RED,11,5,20,129
Signal 3 RED,61,5,20,36
Signal 4 RED,86,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,132
Signal 2 RED,10,5,20,129
Signal 3 RED,60,5,20,36
Signal 4 RED,85,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,132
Signal 2 RED,9,5,20,129
Signal 3 RED,59,5,20,36
Signal 4 RED,84,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,133
Signal 2 RED,8,5,20,129
Signal 3 RED,58,5,20,36
Signal 4 RED,83,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,134
Signal 2 RED,7,5,20,129
Signal 3 RED,57,5,20,36
Signal 4 RED,82,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,134
Signal 2 RED,6,5,20,129
Signal 3 RED,56,5,20,36
Signal 4 RED,81,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,135
Signal 2 GREEN,0,5,20,129
Signal 3 RED,25,5,20,36
Signal 4 RED,75,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,135
Signal 2 GREEN,0,5,19,139
Signal 3 RED,24,5,20,36
Signal 4 RED,74,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,135
Signal 2 GREEN,0,5,18,150
Signal 3 RED,23,5,20,36
Signal 4 RED,73,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,135
Signal 2 GREEN,0,5,17,156
Signal 3 RED,22,5,20,36
Signal 4 RED,72,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,135
Signal 2 GREEN,0,5,16,162
Signal 3 RED,21,5,20,36
Signal 4 RED,71,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,135
Signal 2 GREEN,0,5,15,166
Signal 3 RED,20,5,20,36
Signal 4 RED,70,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,135
Signal 2 GREEN,0,5,14,171
Signal 3 RED,19,5,20,36
Signal 4 RED,69,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,135
Signal 2 GREEN,0,5,13,175
Signal 3 RED,18,5,20,36
Signal 4 RED,68,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,135
Signal 2 GREEN,0,5,12,179
Signal 3 RED,17,5,20,36
Signal 4 RED,67,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,135
Signal 2 GREEN,0,5,11,179
Signal 3 RED,16,5,20,36
Signal 4 RED,66,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,135
Signal 2 GREEN,0,5,10,179
Signal 3 RED,15,5,20,36
Signal 4 RED,65,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,135
Signal 2 GREEN,0,5,9,179
Signal 3 RED,14,5,20,36
Signal 4 RED,64,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,135
Signal 2 GREEN,0,5,8,179
Signal 3 RED,13,5,20,36
Signal 4 RED,63,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,135
Signal 2 GREEN,0,5,7,179
Signal 3 RED,12,5,20,36
Signal 4 RED,62,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,135
Signal 2 GREEN,0,5,6,180
Signal 3 RED,11,5,20,36
Signal 4 RED,61,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,135
Signal 2 GREEN,0,5,5,180
Signal 3 RED,10,5,20,36
Signal 4 RED,60,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,135
Signal 2 GREEN,0,5,4,181
Signal 3 RED,9,5,20,36
Signal 4 RED,59,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,135
Signal 2 GREEN,0,5,3,183
Signal 3 RED,8,5,20,36
Signal 4 RED,58,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,135
Signal 2 GREEN,0,5,2,183
Signal 3 RED,7,5,20,36
Signal 4 RED,57,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,135
Signal 2 GREEN,0,5,1,183
Signal 3 RED,6,5,20,36
Signal 4 RED,56,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,135
Signal 2 RED,100,5,20,183
Signal 3 GREEN,0,5,20,36
Signal 4 RED,25,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,135
Signal 2 RED,99,5,20,183
Signal 3 GREEN,0,5,19,43
Signal 4 RED,24,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,135
Signal 2 RED,98,5,20,183
Signal 3 GREEN,0,5,18,46
Signal 4 RED,23,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,135
Signal 2 RED,97,5,20,183
Signal 3 GREEN,0,5,17,47
Signal 4 RED,22,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,135
Signal 2 RED,96,5,20,183
Signal 3 GREEN,0,5,16,47
Signal 4 RED,21,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,135
Signal 2 RED,95,5,20,183
Signal 3 GREEN,0,5,15,47
Signal 4 RED,20,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,135
Signal 2 RED,94,5,20,183
Signal 3 GREEN,0,5,14,47
Signal 4 RED,19,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,135
Signal 2 RED,93,5,20,183
Signal 3 GREEN,0,5,13,47
Signal 4 RED,18,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,135
Signal 2 RED,92,5,20,183
Signal 3 GREEN,0,5,12,47
Signal 4 RED,17,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,135
Signal 2 RED,91,5,20,183
Signal 3 GREEN,0,5,11,47
Signal 4 RED,16,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,135
Signal 2 RED,90,5,20,183
Signal 3 GREEN,0,5,10,47
Signal 4 RED,15,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,135
Signal 2 RED,89,5,20,183
Signal 3 GREEN,0,5,9,47
Signal 4 RED,14,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,135
Signal 2 RED,88,5,20,183
Signal 3 GREEN,0,5,8,47
Signal 4 RED,13,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,135
Signal 2 RED,87,5,20,183
Signal 3 GREEN,0,5,7,47
Signal 4 RED,12,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,135
Signal 2 RED,86,5,20,183
Signal 3 GREEN,0,5,6,47
Signal 4 RED,11,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,135
Signal 2 RED,85,5,20,183
Signal 3 GREEN,0,5,5,47
Signal 4 RED,10,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,135
Signal 2 RED,84,5,20,183
Signal 3 GREEN,0,5,4,47
Signal 4 RED,9,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,135
Signal 2 RED,83,5,20,183
Signal 3 GREEN,0,5,3,47
Signal 4 RED,8,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,135
Signal 2 RED,82,5,20,183
Signal 3 GREEN,0,5,2,47
Signal 4 RED,7,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,135
Signal 2 RED,81,5,20,183
Signal 3 GREEN,0,5,1,48
Signal 4 RED,6,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,135
Signal 2 RED,75,5,20,183
Signal 3 RED,100,5,20,48
Signal 4 GREEN,0,5,20,46
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,135
Signal 2 RED,74,5,20,183
Signal 3 RED,99,5,20,48
Signal 4 GREEN,0,5,19,55
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,135
Signal 2 RED,73,5,20,183
Signal 3 RED,98,5,20,48
Signal 4 GREEN,0,5,18,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,135
Signal 2 RED,72,5,20,183
Signal 3 RED,97,5,20,48
Signal 4 GREEN,0,5,17,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,135
Signal 2 RED,71,5,20,183
Signal 3 RED,96,5,20,48
Signal 4 GREEN,0,5,16,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,135
Signal 2 RED,70,5,20,183
Signal 3 RED,95,5,20,48
Signal 4 GREEN,0,5,15,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,135
Signal 2 RED,69,5,20,183
Signal 3 RED,94,5,20,48
Signal 4 GREEN,0,5,14,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,135
Signal 2 RED,68,5,20,183
Signal 3 RED,93,5,20,48
Signal 4 GREEN,0,5,13,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,135
Signal 2 RED,67,5,20,183
Signal 3 RED,92,5,20,48
Signal 4 GREEN,0,5,12,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,135
Signal 2 RED,66,5,20,183
Signal 3 RED,91,5,20,48
Signal 4 GREEN,0,5,11,56
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,135
Signal 2 RED,65,5,20,183
Signal 3 RED,90,5,20,48
Signal 4 GREEN,0,5,10,57
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,135
Signal 2 RED,64,5,20,183
Signal 3 RED,89,5,20,48
Signal 4 GREEN,0,5,9,58
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,135
Signal 2 RED,63,5,20,183
Signal 3 RED,88,5,20,48
Signal 4 GREEN,0,5,8,58
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,135
Signal 2 RED,62,5,20,183
Signal 3 RED,87,5,20,48
Signal 4 GREEN,0,5,7,58
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,135
Signal 2 RED,61,5,20,183
Signal 3 RED,86,5,20,48
Signal 4 GREEN,0,5,6,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,135
Signal 2 RED,60,5,20,183
Signal 3 RED,85,5,20,48
Signal 4 GREEN,0,5,5,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,135
Signal 2 RED,59,5,20,183
Signal 3 RED,84,5,20,48
Signal 4 GREEN,0,5,4,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,135
Signal 2 RED,58,5,20,183
Signal 3 RED,83,5,20,48
Signal 4 GREEN,0,5,3,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,135
Signal 2 RED,57,5,20,183
Signal 3 RED,82,5,20,48
Signal 4 GREEN,0,5,2,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,135
Signal 2 RED,56,5,20,183
Signal 3 RED,81,5,20,48
Signal 4 GREEN,0,5,1,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,135
Signal 2 RED,25,5,20,183
Signal 3 RED,75,5,20,48
Signal 4 RED,100,5,20,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,146
Signal 2 RED,24,5,20,183
Signal 3 RED,74,5,20,48
Signal 4 RED,99,5,20,59
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,152
