,State_Signal 1,Red_Signal 1,Green_Signal 1,Vehicles_Crossed_Signal 1,State_Signal 2,Red_Signal 2,Green_Signal 2,Vehicles_Crossed_Signal 2,State_Signal 3,Red_Signal 3,Green_Signal 3,Vehicles_Crossed_Signal 3,State_Signal 4,Red_Signal 4,Green_Signal 4,Vehicles_Crossed_Signal 4
259,RED,81,20,135,GREEN,0,1,183,RED,6,20,36,RED,56,20,46
260,RED,75,20,135,RED,100,20,183,GREEN,0,20,36,RED,25,20,46
261,RED,74,20,135,RED,99,20,183,GREEN,0,19,43,RED,24,20,46
262,RED,73,20,135,RED,98,20,183,GREEN,0,18,46,RED,23,20,46
263,RED,72,20,135,RED,97,20,183,GREEN,0,17,47,RED,22,20,46
264,RED,71,20,135,RED,96,20,183,GREEN,0,16,47,RED,21,20,46
265,RED,70,20,135,RED,95,20,183,GREEN,0,15,47,RED,20,20,46
266,RED,69,20,135,RED,94,20,183,GREEN,0,14,47,RED,19,20,46
267,RED,68,20,135,RED,93,20,183,GREEN,0,13,47,RED,18,20,46
268,RED,67,20,135,RED,92,20,183,GREEN,0,12,47,RED,17,20,46
269,RED,66,20,135,RED,91,20,183,GREEN,0,11,47,RED,16,20,46
270,RED,65,20,135,RED,90,20,183,GREEN,0,10,47,RED,15,20,46
271,RED,64,20,135,RED,89,20,183,GREEN,0,9,47,RED,14,20,46
272,RED,63,20,135,RED,88,20,183,GREEN,0,8,47,RED,13,20,46
273,RED,62,20,135,RED,87,20,183,GREEN,0,7,47,RED,12,20,46
274,RED,61,20,135,RED,86,20,183,GREEN,0,6,47,RED,11,20,46
275,RED,60,20,135,RED,85,20,183,GREEN,0,5,47,RED,10,20,46
276,RED,59,20,135,RED,84,20,183,GREEN,0,4,47,RED,9,20,46
277,RED,58,20,135,RED,83,20,183,GREEN,0,3,47,RED,8,20,46
278,RED,57,20,135,RED,82,20,183,GREEN,0,2,47,RED,7,20,46
279,RED,56,20,135,RED,81,20,183,GREEN,0,1,48,RED,6,20,46
280,RED,25,20,135,RED,75,20,183,RED,100,20,48,GREEN,0,20,46
281,RED,24,20,135,RED,74,20,183,RED,99,20,48,GREEN,0,19,55
282,RED,23,20,135,RED,73,20,183,RED,98,20,48,GREEN,0,18,56
283,RED,22,20,135,RED,72,20,183,RED,97,20,48,GREEN,0,17,56
284,RED,21,20,135,RED,71,20,183,RED,96,20,48,GREEN,0,16,56
285,RED,20,20,135,RED,70,20,183,RED,95,20,48,GREEN,0,15,56
286,RED,19,20,135,RED,69,20,183,RED,94,20,48,GREEN,0,14,56
287,RED,18,20,135,RED,68,20,183,RED,93,20,48,GREEN,0,13,56
288,RED,17,20,135,RED,67,20,183,RED,92,20,48,GREEN,0,12,56
289,RED,16,20,135,RED,66,20,183,RED,91,20,48,GREEN,0,11,56
290,RED,15,20,135,RED,65,20,183,RED,90,20,48,GREEN,0,10,57
291,RED,14,20,135,RED,64,20,183,RED,89,20,48,GREEN,0,9,58
292,RED,13,20,135,RED,63,20,183,RED,88,20,48,GREEN,0,8,58
293,RED,12,20,135,RED,62,20,183,RED,87,20,48,GREEN,0,7,58
294,RED,11,20,135,RED,61,20,183,RED,86,20,48,GREEN,0,6,59
295,RED,10,20,135,RED,60,20,183,RED,85,20,48,GREEN,0,5,59
296,RED,9,20,135,RED,59,20,183,RED,84,20,48,GREEN,0,4,59
297,RED,8,20,135,RED,58,20,183,RED,83,20,48,GREEN,0,3,59
298,RED,7,20,135,RED,57,20,183,RED,82,20,48,GREEN,0,2,59
299,RED,6,20,135,RED,56,20,183,RED,81,20,48,GREEN,0,1,59
300,GREEN,0,20,135,RED,25,20,183,RED,75,20,48,RED,100,20,59
301,GREEN,0,19,146,RED,24,20,183,RED,74,20,48,RED,99,20,59
302,GREEN,0,18,152,RED,23,20,183,RED,73,20,48,RED,98,20,59
303,GREEN,0,17,157,RED,22,20,183,RED,72,20,48,RED,97,20,59
304,GREEN,0,16,161,RED,21,20,183,RED,71,20,48,RED,96,20,59
305,GREEN,0,15,167,RED,20,20,183,RED,70,20,48,RED,95,20,59
306,GREEN,0,14,172,RED,19,20,183,RED,69,20,48,RED,94,20,59
307,GREEN,0,13,177,RED,18,20,183,RED,68,20,48,RED,93,20,59
308,GREEN,0,12,179,RED,17,20,183,RED,67,20,48,RED,92,20,59
309,GREEN,0,11,180,RED,16,20,183,RED,66,20,48,RED,91,20,59
310,GREEN,0,10,180,RED,15,20,183,RED,65,20,48,RED,90,20,59
311,GREEN,0,9,181,RED,14,20,183,RED,64,20,48,RED,89,20,59
312,GREEN,0,8,182,RED,13,20,183,RED,63,20,48,RED,88,20,59
313,GREEN,0,7,183,RED,12,20,183,RED,62,20,48,RED,87,20,59
314,GREEN,0,6,183,RED,11,20,183,RED,61,20,48,RED,86,20,59
315,GREEN,0,5,183,RED,10,20,183,RED,60,20,48,RED,85,20,59
316,GREEN,0,4,183,RED,9,20,183,RED,59,20,48,RED,84,20,59
317,GREEN,0,3,183,RED,8,20,183,RED,58,20,48,RED,83,20,59
318,GREEN,0,2,186,RED,7,20,183,RED,57,20,48,RED,82,20,59
319,GREEN,0,1,186,RED,6,20,183,RED,56,20,48,RED,81,20,59
320,RED,100,20,186,GREEN,0,20,183,RED,25,20,48,RED,75,20,59
321,RED,99,20,186,GREEN,0,19,194,RED,24,20,48,RED,74,20,59
322,RED,98,20,186,GREEN,0,18,204,RED,23,20,48,RED,73,20,59
323,RED,97,20,186,GREEN,0,17,209,RED,22,20,48,RED,72,20,59
324,RED,96,20,186,GREEN,0,16,214,RED,21,20,48,RED,71,20,59
325,RED,95,20,186,GREEN,0,15,220,RED,20,20,48,RED,70,20,59
326,RED,94,20,186,GREEN,0,14,222,RED,19,20,48,RED,69,20,59
327,RED,93,20,186,GREEN,0,13,225,RED,18,20,48,RED,68,20,59
